,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.27599999999999997,0.23081207265676087,0.32118792734323903
1,0.1,0.271,0.20183119527709328,0.3401688047229068
2,0.2,0.339,0.2858877484881026,0.39211225151189744
3,0.3,0.377,0.3141961422256789,0.4398038577743211
4,0.4,0.45,0.4135074565903211,0.4864925434096789
5,0.5,0.507,0.4708541450814363,0.5431458549185637
6,0.6,0.5660000000000001,0.5117153268018473,0.6202846731981528
7,0.7,0.658,0.5828936163577928,0.733106383642207
8,0.8,0.6829999999999999,0.5890920186243993,0.7769079813756006
9,0.9,0.826,0.7409577371356248,0.9110422628643751
10,1.0,0.789,0.5573618849990745,1.0206381150009254
