,iteration,mean,ci_lb,ci_ub
0,1,0.97,0.9363970823052823,1.0036029176947177
1,2,0.91,0.8536268316013593,0.9663731683986407
2,3,0.91,0.8536268316013593,0.9663731683986407
3,4,0.87,0.8037536741921832,0.9362463258078167
4,5,0.83,0.756006426732804,0.9039935732671959
5,6,0.8,0.721206483159645,0.8787935168403551
6,7,0.76,0.6758715454942783,0.8441284545057217
7,8,0.73,0.6425471825012318,0.8174528174987682
8,9,0.79,0.7097668789044141,0.8702331210955859
9,10,0.71,0.6206162302498,0.7993837697502
10,11,0.71,0.6206162302498,0.7993837697502
11,12,0.7,0.6097306862018238,0.7902693137981761
12,13,0.67,0.5773757157496829,0.7626242842503171
13,14,0.6,0.5034980443508683,0.6965019556491316
14,15,0.62,0.5243867376303631,0.7156132623696368
15,16,0.6,0.5034980443508683,0.6965019556491316
16,17,0.59,0.4931168104810085,0.6868831895189914
17,18,0.57,0.4724781010372837,0.6675218989627162
18,19,0.61,0.5139211680234869,0.7060788319765131
19,20,0.64,0.545447779791574,0.734552220208426
20,21,0.62,0.5243867376303631,0.7156132623696368
21,22,0.56,0.46221981705913096,0.6577801829408692
22,23,0.54,0.4418237839156005,0.6381762160843996
23,24,0.59,0.4931168104810085,0.6868831895189914
24,25,0.58,0.4827769736339761,0.6772230263660238
25,26,0.51,0.41152780429899827,0.6084721957010018
26,27,0.53,0.43168554920716884,0.6283144507928312
27,28,0.55,0.45200180077299734,0.6479981992270027
28,29,0.5,0.4015081039495562,0.5984918960504438
29,30,0.5,0.4015081039495562,0.5984918960504438
30,31,0.48,0.38158692900904245,0.5784130709909575
31,32,0.44,0.3422198170591309,0.537780182940869
32,33,0.55,0.45200180077299734,0.6479981992270027
33,34,0.57,0.47247810103728366,0.6675218989627162
34,35,0.5,0.4015081039495562,0.5984918960504438
35,36,0.52,0.4215869290090425,0.6184130709909575
36,37,0.52,0.4215869290090425,0.6184130709909575
37,38,0.57,0.4724781010372837,0.6675218989627162
38,39,0.54,0.4418237839156005,0.6381762160843996
39,40,0.55,0.45200180077299734,0.6479981992270027
40,41,0.53,0.43168554920716884,0.6283144507928312
41,42,0.52,0.4215869290090425,0.6184130709909575
42,43,0.51,0.41152780429899827,0.6084721957010018
43,44,0.59,0.4931168104810085,0.6868831895189914
44,45,0.47,0.3716855492071688,0.5683144507928312
45,46,0.49,0.39152780429899825,0.5884721957010017
46,47,0.45,0.3520018007729973,0.5479981992270028
47,48,0.48,0.38158692900904245,0.5784130709909575
48,49,0.48,0.38158692900904245,0.5784130709909575
49,50,0.48,0.38158692900904245,0.5784130709909575
50,51,0.48,0.38158692900904245,0.5784130709909575
51,52,0.42,0.32277697363397606,0.5172230263660239
52,53,0.44,0.3422198170591309,0.537780182940869
53,54,0.45,0.3520018007729973,0.5479981992270027
54,55,0.47,0.3716855492071688,0.5683144507928312
55,56,0.4,0.30349804435086836,0.4965019556491317
56,57,0.44,0.3422198170591309,0.537780182940869
57,58,0.44,0.3422198170591309,0.537780182940869
58,59,0.41,0.31311681048100853,0.5068831895189915
59,60,0.41,0.31311681048100853,0.5068831895189915
60,61,0.42,0.32277697363397606,0.5172230263660239
61,62,0.4,0.30349804435086836,0.4965019556491317
62,63,0.4,0.30349804435086836,0.4965019556491317
63,64,0.39,0.2939211680234869,0.48607883197651314
64,65,0.39,0.2939211680234869,0.48607883197651314
65,66,0.38,0.28438673763036315,0.47561326236963686
66,67,0.35,0.2560447193355988,0.44395528066440115
67,68,0.39,0.2939211680234869,0.48607883197651314
68,69,0.31,0.2188963271346301,0.4011036728653699
69,70,0.31,0.2188963271346301,0.4011036728653699
70,71,0.28,0.19155449670531663,0.3684455032946834
71,72,0.35,0.2560447193355988,0.44395528066440115
72,73,0.36,0.26544777979157397,0.454552220208426
73,74,0.33,0.2373757157496829,0.4226242842503172
74,75,0.34,0.24668704987923695,0.4333129501207631
75,76,0.3,0.20973068620182383,0.39026931379817614
76,77,0.31,0.2188963271346301,0.4011036728653699
77,78,0.32,0.22811175873564135,0.41188824126435863
78,79,0.33,0.2373757157496829,0.4226242842503172
79,80,0.36,0.26544777979157397,0.454552220208426
80,81,0.37,0.2748953765314804,0.4651046234685196
81,82,0.3,0.20973068620182383,0.39026931379817614
82,83,0.36,0.26544777979157397,0.454552220208426
83,84,0.4,0.30349804435086836,0.4965019556491317
84,85,0.34,0.24668704987923695,0.4333129501207631
85,86,0.33,0.2373757157496829,0.4226242842503172
86,87,0.35,0.2560447193355988,0.44395528066440115
87,88,0.3,0.20973068620182383,0.39026931379817614
88,89,0.39,0.2939211680234869,0.48607883197651314
89,90,0.37,0.2748953765314804,0.4651046234685196
90,91,0.39,0.2939211680234869,0.48607883197651314
91,92,0.37,0.2748953765314804,0.4651046234685196
92,93,0.41,0.31311681048100853,0.5068831895189915
93,94,0.33,0.23737571574968291,0.4226242842503171
94,95,0.38,0.28438673763036315,0.47561326236963686
95,96,0.41,0.31311681048100853,0.5068831895189915
96,97,0.43,0.3324781010372837,0.5275218989627163
97,98,0.38,0.28438673763036315,0.47561326236963686
98,99,0.36,0.26544777979157397,0.454552220208426
99,100,0.32,0.22811175873564135,0.41188824126435863
