,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.009999999999999998,0.009999999999999997,0.01
1,0.1,0.019000000000000006,0.007149824417576634,0.030850175582423367
2,0.2,0.009999999999999998,0.009999999999999997,0.01
3,0.3,0.019,0.012179125084992071,0.025820874915007928
4,0.4,0.027000000000000003,0.01237668957843997,0.041623310421560034
5,0.5,0.049,0.01871378200187112,0.07928621799812888
6,0.6,0.034,0.008663258855689953,0.05933674114431005
7,0.7,0.06100000000000001,0.02699589576199763,0.0950041042380024
8,0.8,0.07999999999999999,0.01395312342527387,0.14604687657472615
9,0.9,0.30500000000000005,0.13410307856423592,0.47589692143576406
10,1.0,0.966,0.8993612245256382,1.0326387754743618
