,URND_coop,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,0.56,0.46221981705913096,0.6577801829408692,0.9801569701437947,0.9797889503996318,0.9805249898879576,0.5052128190042458,0.4916350459895876,0.5187905920189039,0.44,0.3422198170591309,0.537780182940869,0.4966666666666664,0.48739759642611813,0.5059357369072147
1,0.1,0.45,0.3520018007729973,0.5479981992270027,0.9389825035612347,0.9325341691145245,0.9454308380079449,0.5033929787566778,0.4880750108533919,0.5187109466599636,0.4850038016678886,0.45010942630488665,0.5198981770308906,0.502828282828283,0.4924679698989438,0.5131885957576221
2,0.2,0.46,0.3618237839156005,0.5581762160843996,0.8963856523571547,0.8877303979248171,0.9050409067894923,0.5085611647862525,0.49420912664385935,0.5229132029286456,0.49500500093650596,0.47213276313618957,0.5178772387368223,0.5034343434343433,0.4931194513760804,0.5137492354926063
3,0.3,0.37,0.2748953765314804,0.4651046234685196,0.8578911127838847,0.8477852115191046,0.8679970140486649,0.5070060530344827,0.4909963025852859,0.5230158034836794,0.5041008946889023,0.48877461585674226,0.5194271735210623,0.4984848484848483,0.4878760882731173,0.5090936086965793
4,0.4,0.32,0.22811175873564132,0.4118882412643587,0.8209865112970524,0.8072443630145874,0.8347286595795174,0.5178091609851236,0.49787291303560405,0.5377454089346433,0.5011130604101937,0.48624810172109123,0.5159780190992961,0.502828282828283,0.49210001106370554,0.5135565545928603
5,0.5,0.35,0.2560447193355988,0.44395528066440115,0.7925409689033849,0.7787598950461223,0.8063220427606475,0.5064421929955027,0.48614812180344985,0.5267362641875556,0.5042893504547569,0.49051334309250766,0.518065357817006,0.4942424242424241,0.48391780696965714,0.504567041515191
6,0.6,0.18,0.10432129838504238,0.2556787016149576,0.7780481767172859,0.7618473811578228,0.794248972276749,0.507652012476976,0.4859980222003304,0.5293060027536216,0.49857491606707705,0.4854194499182111,0.5117303822159429,0.5021212121212122,0.4925609741188684,0.511681450123556
7,0.7,0.31,0.2188963271346301,0.4011036728653699,0.7256849335734136,0.7080664456098401,0.743303421536987,0.4969335680864656,0.4722380882770233,0.5216290478959079,0.501688587277442,0.49052015380572117,0.512857020749163,0.49585858585858594,0.48600549794781245,0.5057116737693594
8,0.8,0.17,0.0960064267328041,0.24399357326719592,0.7272100612813628,0.7047259860298932,0.7496941365328323,0.5202817835759013,0.4858039919296001,0.5547595752222024,0.4984433663037391,0.4859182825818824,0.5109684500255958,0.501212121212121,0.4901166750701743,0.5123075673540677
9,0.9,0.05,0.007068377835840266,0.09293162216415973,0.7406105494780414,0.7119337663582027,0.7692873325978801,0.4740335497835498,0.4294307447098303,0.5186363548572692,0.4979581068520112,0.4883781135235841,0.5075381001804383,0.4992929292929293,0.48957676447683135,0.5090090941090273
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4922000000000001,0.4832222921397402,0.50117770786026,0.5078787878787879,0.4988827196204673,0.5168748561371085
