,URND_alpha,RND_score,AD_score,TFT_score,STFT_score,WSLS_score,AC_score,GRIM_score
0,0.0,2.4701765765593796e-14,4.81932369395164e-14,0.3349226043501765,4.8077429033062294e-14,0.3283095812563297,9.238040185713522e-16,0.336767814403212
1,0.1,1.2520903115306533e-13,0.020000000000416178,0.015166077199798225,1.4236811518583682e-16,0.013969158057737883,1.7752259445029643e-16,0.9508647647424641
2,0.2,2.616122178207781e-14,0.010000000000156148,0.0028305045911680786,3.7342349537157794e-17,0.0026119270718017317,4.893978372292347e-17,0.98455756833703
3,0.3,6.835337097724687e-14,0.01000000000050007,5.835809105485843e-16,1.2048714586035937e-15,3.7042714434205234e-16,7.239733713604464e-16,0.989999999999995
4,0.4,5.171014908817496e-14,0.04000000000104256,2.106137953541696e-16,6.590876952606786e-17,2.4583730179016147e-17,1.0810911278534523e-16,0.9599999999999995
5,0.5,5.2964314734659606e-14,0.035101047609964076,1.7076010777920592e-16,1.4383917136630547e-16,1.7135466053000082e-16,2.727237233390556e-16,0.9648989523902191
6,0.6,4.713668691480599e-13,1.0,3.3765291198637825e-15,3.882301391938166e-15,3.0817546092676823e-15,2.6213981943411456e-15,7.230397858868743e-10
7,0.7,4.404143994457754e-13,1.0,3.4542574592027578e-15,3.4873511002540435e-15,3.748499133115051e-15,5.340125410354522e-15,2.7456533401026826e-12
8,0.8,5.228990764688523e-13,1.0,1.1264322807846838e-14,1.047065212311793e-14,9.27542764816991e-15,8.924076755345567e-15,3.2951840169146557e-10
9,0.9,5.631421631097088e-13,1.0,4.929390229335695e-16,8.679168495007161e-16,1.2023715356690445e-15,3.8413716652030416e-16,1.0311666104323435e-12
10,1.0,4.936703996982761e-13,1.0,3.255243297139998e-15,3.634592626866606e-15,2.9915653287915233e-15,3.2673169725327967e-15,4.559052788066786e-15
