,iteration,mean,ci_lb,ci_ub
0,1,1.0,1.0,1.0
1,2,0.02,-0.007577730894124262,0.04757773089412426
2,3,0.12,0.05598784431526252,0.18401215568473747
3,4,0.07,0.01974017315773944,0.12025982684226058
4,5,0.03,-0.0036029176947176764,0.06360291769471768
5,6,0.04,0.0013992177403473471,0.07860078225965265
6,7,0.02,-0.007577730894124262,0.04757773089412426
7,8,0.05,0.007068377835840266,0.09293162216415973
8,9,0.0,0.0,0.0
9,10,0.06,0.013218941339842055,0.10678105866015794
10,11,0.03,-0.0036029176947176764,0.06360291769471768
11,12,0.06,0.013218941339842055,0.10678105866015794
12,13,0.04,0.0013992177403473471,0.07860078225965265
13,14,0.09,0.03362683160135927,0.14637316839864073
14,15,0.12,0.05598784431526252,0.18401215568473747
15,16,0.07,0.019740173157739453,0.12025982684226055
16,17,0.04,0.0013992177403473471,0.07860078225965265
17,18,0.09,0.03362683160135927,0.14637316839864073
18,19,0.09,0.03362683160135927,0.14637316839864073
19,20,0.07,0.01974017315773944,0.12025982684226058
20,21,0.06,0.013218941339842062,0.10678105866015794
21,22,0.06,0.013218941339842062,0.10678105866015794
22,23,0.05,0.007068377835840266,0.09293162216415973
23,24,0.01,-0.009599639845400536,0.02959963984540054
24,25,0.03,-0.0036029176947176833,0.06360291769471768
25,26,0.05,0.007068377835840266,0.09293162216415973
26,27,0.02,-0.0075777308941242585,0.04757773089412426
27,28,0.05,0.007068377835840266,0.09293162216415973
28,29,0.03,-0.0036029176947176764,0.06360291769471768
29,30,0.01,-0.009599639845400536,0.02959963984540054
30,31,0.06,0.013218941339842055,0.10678105866015794
31,32,0.04,0.0013992177403473471,0.07860078225965265
32,33,0.03,-0.0036029176947176764,0.06360291769471768
33,34,0.03,-0.0036029176947176764,0.06360291769471768
34,35,0.02,-0.0075777308941242585,0.04757773089412426
35,36,0.04,0.0013992177403473471,0.07860078225965265
36,37,0.05,0.007068377835840273,0.09293162216415973
37,38,0.01,-0.00959963984540054,0.02959963984540054
38,39,0.02,-0.0075777308941242585,0.04757773089412426
39,40,0.02,-0.0075777308941242585,0.04757773089412426
40,41,0.03,-0.0036029176947176764,0.06360291769471768
41,42,0.02,-0.0075777308941242585,0.04757773089412426
42,43,0.02,-0.0075777308941242585,0.04757773089412426
43,44,0.03,-0.0036029176947176764,0.06360291769471768
44,45,0.04,0.0013992177403473471,0.07860078225965265
45,46,0.03,-0.0036029176947176764,0.06360291769471768
46,47,0.02,-0.007577730894124262,0.04757773089412426
47,48,0.0,0.0,0.0
48,49,0.04,0.0013992177403473471,0.07860078225965265
49,50,0.03,-0.0036029176947176764,0.06360291769471768
50,51,0.01,-0.009599639845400536,0.02959963984540054
51,52,0.04,0.0013992177403473471,0.07860078225965265
52,53,0.03,-0.0036029176947176764,0.06360291769471768
53,54,0.02,-0.0075777308941242585,0.04757773089412426
54,55,0.0,0.0,0.0
55,56,0.04,0.0013992177403473471,0.07860078225965265
56,57,0.03,-0.0036029176947176764,0.06360291769471768
57,58,0.01,-0.009599639845400536,0.02959963984540054
58,59,0.02,-0.0075777308941242585,0.04757773089412426
59,60,0.02,-0.0075777308941242585,0.04757773089412426
60,61,0.02,-0.0075777308941242585,0.04757773089412426
61,62,0.01,-0.009599639845400536,0.02959963984540054
62,63,0.03,-0.0036029176947176764,0.06360291769471768
63,64,0.02,-0.0075777308941242585,0.04757773089412426
64,65,0.01,-0.009599639845400536,0.02959963984540054
65,66,0.02,-0.007577730894124262,0.04757773089412426
66,67,0.02,-0.0075777308941242585,0.04757773089412426
67,68,0.02,-0.007577730894124262,0.04757773089412426
68,69,0.01,-0.009599639845400536,0.02959963984540054
69,70,0.02,-0.007577730894124262,0.04757773089412426
70,71,0.01,-0.009599639845400536,0.02959963984540054
71,72,0.02,-0.007577730894124262,0.04757773089412426
72,73,0.06,0.013218941339842062,0.10678105866015794
73,74,0.05,0.007068377835840266,0.09293162216415973
74,75,0.03,-0.0036029176947176764,0.06360291769471768
75,76,0.02,-0.0075777308941242585,0.04757773089412426
76,77,0.02,-0.007577730894124262,0.04757773089412426
77,78,0.02,-0.0075777308941242585,0.04757773089412426
78,79,0.06,0.013218941339842055,0.10678105866015794
79,80,0.01,-0.009599639845400536,0.02959963984540054
80,81,0.02,-0.007577730894124262,0.04757773089412426
81,82,0.02,-0.007577730894124262,0.04757773089412426
82,83,0.01,-0.009599639845400536,0.02959963984540054
83,84,0.01,-0.009599639845400536,0.02959963984540054
84,85,0.02,-0.007577730894124262,0.04757773089412426
85,86,0.02,-0.007577730894124262,0.04757773089412426
86,87,0.02,-0.007577730894124262,0.04757773089412426
87,88,0.03,-0.0036029176947176764,0.06360291769471768
88,89,0.0,0.0,0.0
89,90,0.01,-0.009599639845400536,0.02959963984540054
90,91,0.01,-0.009599639845400536,0.02959963984540054
91,92,0.02,-0.0075777308941242585,0.04757773089412426
92,93,0.03,-0.0036029176947176764,0.06360291769471768
93,94,0.01,-0.009599639845400536,0.02959963984540054
94,95,0.02,-0.007577730894124262,0.04757773089412426
95,96,0.01,-0.009599639845400536,0.02959963984540054
96,97,0.03,-0.0036029176947176833,0.06360291769471768
97,98,0.03,-0.0036029176947176764,0.06360291769471768
98,99,0.02,-0.007577730894124262,0.04757773089412426
99,100,0.03,-0.0036029176947176764,0.06360291769471768
