,iteration,mean,ci_lb,ci_ub
0,1,0.97,0.9363970823052823,1.0036029176947177
1,2,0.82,0.7443212983850424,0.8956787016149576
2,3,0.83,0.756006426732804,0.9039935732671959
3,4,0.73,0.6425471825012319,0.8174528174987681
4,5,0.62,0.5243867376303631,0.7156132623696368
5,6,0.66,0.5666870498792369,0.7533129501207632
6,7,0.58,0.4827769736339761,0.6772230263660238
7,8,0.54,0.4418237839156005,0.6381762160843996
8,9,0.58,0.4827769736339761,0.6772230263660238
9,10,0.45,0.3520018007729973,0.5479981992270027
10,11,0.44,0.3422198170591309,0.537780182940869
11,12,0.45,0.3520018007729973,0.5479981992270027
12,13,0.37,0.2748953765314804,0.4651046234685196
13,14,0.34,0.24668704987923695,0.4333129501207631
14,15,0.44,0.3422198170591309,0.537780182940869
15,16,0.34,0.24668704987923695,0.4333129501207631
16,17,0.35,0.2560447193355988,0.44395528066440115
17,18,0.33,0.2373757157496829,0.4226242842503172
18,19,0.33,0.2373757157496829,0.4226242842503172
19,20,0.33,0.2373757157496829,0.4226242842503172
20,21,0.35,0.2560447193355988,0.44395528066440115
21,22,0.24,0.15587154549427823,0.32412845450572175
22,23,0.33,0.2373757157496829,0.4226242842503172
23,24,0.35,0.2560447193355988,0.44395528066440115
24,25,0.27,0.18254718250123186,0.35745281749876817
25,26,0.24,0.15587154549427823,0.32412845450572175
26,27,0.33,0.2373757157496829,0.4226242842503172
27,28,0.37,0.2748953765314804,0.4651046234685196
28,29,0.29,0.20061623024979996,0.3793837697502
29,30,0.32,0.22811175873564135,0.41188824126435863
30,31,0.34,0.24668704987923695,0.4333129501207631
31,32,0.31,0.2188963271346301,0.4011036728653699
32,33,0.3,0.20973068620182383,0.39026931379817614
33,34,0.31,0.2188963271346301,0.4011036728653699
34,35,0.34,0.24668704987923695,0.4333129501207631
35,36,0.25,0.16470351595341942,0.3352964840465806
36,37,0.25,0.16470351595341942,0.3352964840465806
37,38,0.22,0.13840019226409608,0.3015998077359039
38,39,0.17,0.0960064267328041,0.24399357326719592
39,40,0.22,0.13840019226409608,0.3015998077359039
40,41,0.18,0.10432129838504238,0.2556787016149576
41,42,0.21,0.12976687890441413,0.29023312109558586
42,43,0.2,0.12120648315964497,0.278793516840355
43,44,0.24,0.15587154549427823,0.32412845450572175
44,45,0.17,0.0960064267328041,0.24399357326719592
45,46,0.25,0.16470351595341942,0.3352964840465806
46,47,0.17,0.0960064267328041,0.24399357326719592
47,48,0.24,0.15587154549427823,0.32412845450572175
48,49,0.25,0.16470351595341942,0.3352964840465806
49,50,0.27,0.18254718250123186,0.35745281749876817
50,51,0.3,0.20973068620182383,0.39026931379817614
51,52,0.24,0.15587154549427823,0.32412845450572175
52,53,0.24,0.15587154549427823,0.32412845450572175
53,54,0.35,0.2560447193355988,0.44395528066440115
54,55,0.33,0.2373757157496829,0.4226242842503172
55,56,0.25,0.16470351595341942,0.3352964840465806
56,57,0.35,0.2560447193355988,0.44395528066440115
57,58,0.29,0.20061623024979996,0.3793837697502
58,59,0.23,0.14710281668558373,0.3128971833144163
59,60,0.26,0.17359616327369626,0.34640383672630376
60,61,0.23,0.14710281668558373,0.3128971833144163
61,62,0.2,0.12120648315964497,0.278793516840355
62,63,0.23,0.14710281668558373,0.3128971833144163
63,64,0.21,0.12976687890441413,0.29023312109558586
64,65,0.18,0.10432129838504238,0.2556787016149576
65,66,0.15,0.07966271735642733,0.22033728264357266
66,67,0.18,0.10432129838504238,0.2556787016149576
67,68,0.12,0.05598784431526253,0.18401215568473744
68,69,0.21,0.12976687890441413,0.29023312109558586
69,70,0.2,0.12120648315964497,0.278793516840355
70,71,0.21,0.12976687890441413,0.29023312109558586
71,72,0.17,0.0960064267328041,0.24399357326719592
72,73,0.15,0.07966271735642733,0.22033728264357266
73,74,0.22,0.13840019226409608,0.3015998077359039
74,75,0.19,0.11272308010451249,0.2672769198954875
75,76,0.16,0.08778454896145906,0.23221545103854097
76,77,0.18,0.10432129838504238,0.2556787016149576
77,78,0.21,0.12976687890441413,0.29023312109558586
78,79,0.23,0.14710281668558373,0.3128971833144163
79,80,0.17,0.0960064267328041,0.24399357326719592
80,81,0.21,0.12976687890441413,0.29023312109558586
81,82,0.19,0.11272308010451249,0.2672769198954875
82,83,0.24,0.15587154549427823,0.32412845450572175
83,84,0.17,0.0960064267328041,0.24399357326719592
84,85,0.2,0.12120648315964497,0.278793516840355
85,86,0.2,0.12120648315964497,0.278793516840355
86,87,0.22,0.13840019226409608,0.3015998077359039
87,88,0.24,0.15587154549427823,0.32412845450572175
88,89,0.26,0.17359616327369629,0.3464038367263037
89,90,0.18,0.10432129838504238,0.2556787016149576
90,91,0.2,0.12120648315964497,0.278793516840355
91,92,0.18,0.10432129838504238,0.2556787016149576
92,93,0.21,0.12976687890441413,0.29023312109558586
93,94,0.23,0.14710281668558373,0.3128971833144163
94,95,0.15,0.07966271735642733,0.22033728264357266
95,96,0.2,0.12120648315964497,0.278793516840355
96,97,0.2,0.12120648315964497,0.278793516840355
97,98,0.23,0.14710281668558373,0.3128971833144163
98,99,0.26,0.17359616327369629,0.3464038367263037
99,100,0.23,0.14710281668558373,0.3128971833144163
