,iteration,no_wdw_mean,no_wdw_ci_lb,no_wdw_ci_ub,wdw_mean,wdw_ci_lb,wdw_ci_ub
41,42,0.58,0.4418061573833151,0.7181938426166848,0.05,0.007068377835840266,0.09293162216415973
42,43,0.64,0.5056024696315392,0.7743975303684608,0.01,-0.009599639845400536,0.02959963984540054
43,44,0.76,0.6404189209480158,0.8795810790519842,0.02,-0.0075777308941242585,0.04757773089412426
44,45,0.8,0.6880020580262827,0.9119979419737174,0.03,-0.0036029176947176764,0.06360291769471768
45,46,0.82,0.7124294894808239,0.927570510519176,0.04,0.0013992177403473471,0.07860078225965265
46,47,0.8,0.6880020580262827,0.9119979419737174,0.03,-0.0036029176947176764,0.06360291769471768
47,48,0.8,0.6880020580262827,0.9119979419737174,0.06,0.013218941339842062,0.10678105866015794
48,49,0.84,0.7373521906452336,0.9426478093547663,0.02,-0.007577730894124262,0.04757773089412426
49,50,0.86,0.7628454164628503,0.9571545835371497,0.02,-0.007577730894124262,0.04757773089412426
50,51,0.88,0.789012441816533,0.970987558183467,0.07,0.01974017315773944,0.12025982684226058
51,52,0.92,0.8440393000103333,0.9959606999896667,0.01,-0.009599639845400536,0.02959963984540054
52,53,0.9,0.816001543519712,0.983998456480288,0.04,0.0013992177403473471,0.07860078225965265
53,54,0.92,0.8440393000103333,0.9959606999896667,0.01,-0.009599639845400536,0.02959963984540054
54,55,0.96,0.9051324379845107,1.0148675620154892,0.0,0.0,0.0
55,56,0.94,0.8735049061979928,1.0064950938020072,0.01,-0.009599639845400536,0.02959963984540054
56,57,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
57,58,0.92,0.8440393000103333,0.9959606999896667,0.05,0.007068377835840266,0.09293162216415973
58,59,0.96,0.9051324379845107,1.0148675620154892,0.04,0.0013992177403473471,0.07860078225965265
59,60,0.96,0.9051324379845107,1.0148675620154892,0.04,0.0013992177403473471,0.07860078225965265
60,61,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
61,62,0.94,0.8735049061979928,1.0064950938020072,0.0,0.0,0.0
62,63,0.94,0.8735049061979928,1.0064950938020072,0.0,0.0,0.0
63,64,0.98,0.9408007203091989,1.0191992796908012,0.04,0.0013992177403473471,0.07860078225965265
64,65,0.98,0.9408007203091989,1.0191992796908012,0.0,0.0,0.0
65,66,1.0,1.0,1.0,0.0,0.0,0.0
66,67,0.98,0.9408007203091989,1.0191992796908012,0.03,-0.0036029176947176833,0.06360291769471768
67,68,0.96,0.9051324379845107,1.0148675620154892,0.01,-0.009599639845400536,0.02959963984540054
68,69,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
69,70,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
70,71,1.0,1.0,1.0,0.0,0.0,0.0
71,72,1.0,1.0,1.0,0.0,0.0,0.0
72,73,1.0,1.0,1.0,0.0,0.0,0.0
73,74,0.94,0.8735049061979928,1.0064950938020072,0.03,-0.0036029176947176764,0.06360291769471768
74,75,0.98,0.9408007203091989,1.0191992796908012,0.03,-0.0036029176947176764,0.06360291769471768
75,76,1.0,1.0,1.0,0.04,0.0013992177403473402,0.07860078225965267
76,77,0.98,0.9408007203091989,1.0191992796908012,0.03,-0.0036029176947176764,0.06360291769471768
77,78,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
78,79,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
79,80,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
80,81,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
81,82,0.96,0.9051324379845107,1.0148675620154892,0.02,-0.0075777308941242585,0.04757773089412426
82,83,1.0,1.0,1.0,0.02,-0.0075777308941242585,0.04757773089412426
83,84,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
84,85,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.007577730894124262,0.04757773089412426
85,86,1.0,1.0,1.0,0.02,-0.007577730894124262,0.04757773089412426
86,87,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.0075777308941242585,0.04757773089412426
87,88,0.98,0.9408007203091989,1.0191992796908012,0.0,0.0,0.0
88,89,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
89,90,1.0,1.0,1.0,0.02,-0.007577730894124262,0.04757773089412426
90,91,0.98,0.9408007203091989,1.0191992796908012,0.07,0.01974017315773944,0.12025982684226058
91,92,1.0,1.0,1.0,0.03,-0.0036029176947176764,0.06360291769471768
92,93,0.98,0.9408007203091989,1.0191992796908012,0.03,-0.0036029176947176833,0.06360291769471768
93,94,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
94,95,0.98,0.9408007203091989,1.0191992796908012,0.03,-0.0036029176947176764,0.06360291769471768
95,96,0.98,0.9408007203091989,1.0191992796908012,0.0,0.0,0.0
96,97,0.94,0.8735049061979928,1.0064950938020072,0.05,0.007068377835840266,0.09293162216415973
97,98,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.0075777308941242585,0.04757773089412426
98,99,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
99,100,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.007577730894124262,0.04757773089412426
