,iteration,no_wdw_mean,no_wdw_ci_lb,no_wdw_ci_ub,wdw_mean,wdw_ci_lb,wdw_ci_ub
58,59,0.94,0.8735049061979928,1.0064950938020072,0.09,0.03362683160135927,0.14637316839864073
59,60,0.96,0.9051324379845107,1.0148675620154892,0.09,0.03362683160135927,0.14637316839864073
60,61,0.92,0.8440393000103333,0.9959606999896667,0.1,0.04090486236973372,0.15909513763026628
61,62,0.92,0.8440393000103333,0.9959606999896667,0.07,0.01974017315773944,0.12025982684226058
62,63,0.9,0.816001543519712,0.983998456480288,0.07,0.01974017315773944,0.12025982684226058
63,64,0.98,0.9408007203091989,1.0191992796908012,0.06,0.013218941339842062,0.10678105866015794
64,65,0.9,0.816001543519712,0.983998456480288,0.09,0.03362683160135927,0.14637316839864073
65,66,0.96,0.9051324379845107,1.0148675620154892,0.07,0.01974017315773944,0.12025982684226058
66,67,0.96,0.9051324379845107,1.0148675620154892,0.06,0.013218941339842062,0.10678105866015794
67,68,0.94,0.8735049061979928,1.0064950938020072,0.07,0.01974017315773944,0.12025982684226058
68,69,0.96,0.9051324379845107,1.0148675620154892,0.05,0.007068377835840266,0.09293162216415973
69,70,1.0,1.0,1.0,0.07,0.01974017315773944,0.12025982684226058
70,71,0.98,0.9408007203091989,1.0191992796908012,0.05,0.007068377835840266,0.09293162216415973
71,72,0.98,0.9408007203091989,1.0191992796908012,0.05,0.007068377835840266,0.09293162216415973
72,73,1.0,1.0,1.0,0.06,0.013218941339842062,0.10678105866015794
73,74,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
74,75,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
75,76,0.98,0.9408007203091989,1.0191992796908012,0.04,0.0013992177403473471,0.07860078225965265
76,77,1.0,1.0,1.0,0.06,0.013218941339842062,0.10678105866015794
77,78,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
78,79,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
79,80,1.0,1.0,1.0,0.03,-0.0036029176947176764,0.06360291769471768
80,81,1.0,1.0,1.0,0.04,0.0013992177403473471,0.07860078225965265
81,82,1.0,1.0,1.0,0.05,0.007068377835840266,0.09293162216415973
82,83,1.0,1.0,1.0,0.05,0.007068377835840266,0.09293162216415973
83,84,1.0,1.0,1.0,0.03,-0.0036029176947176764,0.06360291769471768
84,85,1.0,1.0,1.0,0.03,-0.0036029176947176764,0.06360291769471768
85,86,1.0,1.0,1.0,0.03,-0.0036029176947176764,0.06360291769471768
86,87,1.0,1.0,1.0,0.04,0.0013992177403473402,0.07860078225965267
87,88,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.0075777308941242585,0.04757773089412426
88,89,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
89,90,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
90,91,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
91,92,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
92,93,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
93,94,1.0,1.0,1.0,0.02,-0.0075777308941242585,0.04757773089412426
94,95,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
95,96,0.94,0.8735049061979928,1.0064950938020072,0.02,-0.0075777308941242585,0.04757773089412426
96,97,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
97,98,1.0,1.0,1.0,0.01,-0.009599639845400536,0.02959963984540054
98,99,0.98,0.9408007203091989,1.0191992796908012,0.01,-0.009599639845400536,0.02959963984540054
99,100,0.98,0.9408007203091989,1.0191992796908012,0.02,-0.0075777308941242585,0.04757773089412426
