,type,full_question,label,accuracy,ci_lb,ci_ub
0,time,Which is the current round of the game?,round,1.0,1.0,1.0
1,time,Which action did player X play in round i?,action_i,0.8812871287128713,0.8749787679299248,0.8875954894958178
2,time,How many points did player X collect in round i?,points_i,0.6557425742574258,0.6464760417415016,0.6650091067733499
3,rules,What is the lowest/highest payoff player A can get in a single round?,min_max,1.0,1.0,1.0
4,rules,Which actions is player A allowed to play?,actions,0.99,0.9704003601545994,1.0095996398454006
5,rules,Which is player X's payoff in a single round if X plays p and Y plays q?,payoff,0.87625,0.8534170870643182,0.8990829129356818
6,state,How many times did player X choose p?,#actions,0.97,0.9532618237083779,0.9867381762916221
7,state,What is player X's current total payoff?,#points,1.0,1.0,1.0
