,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.009999999999999998,0.009999999999999997,0.01
1,0.1,0.009999999999999998,0.009999999999999997,0.01
2,0.2,0.020000000000000004,0.0004003601545994641,0.03959963984540053
3,0.3,0.014000000000000002,0.009666356573780475,0.01833364342621953
4,0.4,0.015000000000000003,0.00897667496994669,0.021023325030053316
5,0.5,0.022,0.010386306036314314,0.03361369396368569
6,0.6,0.05700000000000001,0.022546977264766968,0.09145302273523305
7,0.7,0.06799999999999999,0.03970281374878772,0.09629718625121228
8,0.8,0.09500000000000001,0.0322505355304806,0.1577494644695194
9,0.9,0.166,0.028144555367835805,0.3038554446321642
10,1.0,1.0,1.0,1.0
