,URND_alpha,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,0.91,0.8536268316013593,0.9663731683986407,0.9393311821757558,0.9193721562248897,0.959290208126622,0.6119629492668932,0.5866575599268018,0.6372683386069846,0.09,0.033626831601359285,0.1463731683986407,0.7487878787878789,0.7260462317046019,0.7715295258711559
1,0.1,0.82,0.7443212983850424,0.8956787016149576,0.6788171223943332,0.6374473015239631,0.7201869432647033,0.6937046394751704,0.664602592090733,0.7228066868596077,0.6493256873845111,0.6089170904746642,0.689734284294358,0.748989898989899,0.7293743483274413,0.7686054496523567
2,0.2,0.86,0.7916491787335831,0.9283508212664169,0.5509478974292649,0.5047426900759928,0.5971531047825369,0.7154797082191899,0.6856964318168959,0.745262984621484,0.706175963107347,0.6733644228541998,0.7389875033604941,0.6921212121212124,0.6762794201943231,0.7079630040481016
3,0.3,0.94,0.893218941339842,0.9867810586601579,0.577847018092742,0.5320319009087955,0.6236621352766885,0.6611289173789098,0.6340305943820249,0.6882272403757946,0.6301514423108509,0.5958897347501422,0.6644131498715595,0.6220202020202021,0.6084924017581668,0.6355480022822375
4,0.4,0.85,0.7796627173564273,0.9203372826435726,0.5838247330714896,0.5349597588646662,0.6326897072783131,0.6253229973926887,0.5938363752276006,0.6568096195577768,0.5898610264104497,0.5503680978859118,0.6293539549349876,0.5757575757575758,0.5663236283116976,0.585191523203454
5,0.5,0.9,0.8409048623697337,0.9590951376302663,0.5799564838097963,0.5260540823329043,0.6338588852866882,0.581546006371067,0.5511564921302577,0.6119355206118763,0.5355964823150142,0.4926652737919362,0.5785276908380922,0.5632323232323233,0.5525946989897306,0.573869947474916
6,0.6,0.79,0.7097668789044141,0.8702331210955859,0.5478483503914934,0.4896103977649366,0.6060863030180501,0.5845058745458623,0.5484800777873962,0.6205316713043285,0.5205488765968467,0.47026426650955266,0.5708334866841407,0.5457575757575758,0.5267569998845072,0.5647581516306444
7,0.7,0.8,0.721206483159645,0.8787935168403551,0.5888180370993193,0.5267285390301162,0.6509075351685225,0.536084430141009,0.49442142008733436,0.5777474401946837,0.44200570493183056,0.3869536393828544,0.49705777048080674,0.5673737373737374,0.539118018235975,0.5956294565114998
8,0.8,0.67,0.5773757157496829,0.7626242842503171,0.6804676607096808,0.6114716288568252,0.7494636925625364,0.4405326000968416,0.3916968241974819,0.48936837599620125,0.33216342773107876,0.2696892665484506,0.3946375889137069,0.6412121212121211,0.5999056003095917,0.6825186421146505
9,0.9,0.62,0.5243867376303631,0.7156132623696368,0.6902011381239785,0.6199739739066654,0.7604283023412917,0.33641275391275394,0.2862364172372249,0.38658909058828295,0.27890707533907955,0.2118277470811633,0.3459864035969958,0.696969696969697,0.6409438958150355,0.7529954981243585
10,1.0,0.53,0.43168554920716884,0.6283144507928312,0.0,0.0,0.0,0.0,0.0,0.0,0.1913,0.11761191769920479,0.2649880823007952,0.8080808080808081,0.7341440016079663,0.8820176145536498
