,URND_alpha,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,0.53,0.43168554920716884,0.6283144507928312,0.9804170198443128,0.9800199696507959,0.9808140700378298,0.49731158556612803,0.48338252324934133,0.5112406478829147,0.47,0.3716855492071688,0.5683144507928312,0.48888888888888893,0.47845462908578185,0.499323148691996
1,0.1,0.58,0.4827769736339761,0.6772230263660238,0.931384996187904,0.925184326330935,0.9375856660448731,0.5116528703105976,0.4970262687519117,0.5262794718692835,0.5094831482586902,0.4778308436969824,0.541135452820398,0.496161616161616,0.48670135080344995,0.5056218815197822
2,0.2,0.41,0.31311681048100853,0.5068831895189915,0.8974131867511668,0.8884123345070705,0.9064140389952631,0.5084639822737439,0.494094600567941,0.5228333639795468,0.4991969007087059,0.47666088786013033,0.5217329135572815,0.49838383838383843,0.48932575567019887,0.507441921097478
3,0.3,0.41,0.31311681048100853,0.5068831895189915,0.8460321202158282,0.8359198875629251,0.8561443528687313,0.5049363692417128,0.48799664429011275,0.5218760941933128,0.5056300016042868,0.4886677478937195,0.5225922553148542,0.4998989898989899,0.4902104092159258,0.509587570582054
4,0.4,0.46,0.3618237839156005,0.5581762160843996,0.8213785760655751,0.8098597991279995,0.8328973530031506,0.4930435487217802,0.47651943319691725,0.5095676642466431,0.49877338622068146,0.4839184310220681,0.5136283414192948,0.4994949494949496,0.49048878691919856,0.5085011120707007
5,0.5,0.37,0.2748953765314804,0.4651046234685196,0.7920449092140474,0.7799383553109567,0.804151463117138,0.5105851704837835,0.4895862535074218,0.5315840874601452,0.4941261096160807,0.48114162926173387,0.5071105899704276,0.5062626262626262,0.49617453106721654,0.5163507214580358
6,0.6,0.36,0.26544777979157397,0.454552220208426,0.7673525891348687,0.7519283938241599,0.7827767844455775,0.49854367873343497,0.4746852788571464,0.5224020786097235,0.49386347461771707,0.4818313819358221,0.505895567299612,0.5038383838383839,0.49450451043174487,0.5131722572450229
7,0.7,0.13,0.06375367419218324,0.19624632580781676,0.7265343943304674,0.7082219229138397,0.7448468657470951,0.5019151359906001,0.478970290863462,0.5248599811177382,0.5080178606802989,0.49685425236067793,0.5191814689999198,0.4974747474747474,0.48760848907426046,0.5073410058752343
8,0.8,0.2,0.12120648315964497,0.278793516840355,0.7072498737182538,0.6864426288653283,0.7280571185711793,0.5185620735473677,0.48507211620104623,0.5520520308936891,0.5066030722314027,0.4960957270298267,0.5171104174329786,0.49757575757575756,0.48798936252659564,0.5071621526249195
9,0.9,0.1,0.04090486236973372,0.15909513763026628,0.73854536420901,0.7088126273016307,0.7682781011163892,0.4606886724386724,0.41392817482783295,0.5074491700495118,0.4927880276931754,0.48294853317873776,0.5026275222076131,0.5029292929292929,0.49360808926788063,0.5122504965907052
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49790000000000006,0.48793217243931225,0.5078678275606879,0.5015151515151516,0.49151339134917577,0.5115169116811275
