,URND_alpha,RND_score,AD_score,TFT_score,STFT_score,WSLS_score,AC_score,GRIM_score
0,0.0,2.193520023161917e-16,0.020147370063783063,0.31619979482563754,0.01318596326955063,0.3272989928783885,2.6176816185110727e-16,0.3231678789626403
1,0.1,1.840990113071409e-14,0.23333333333333325,4.371511344977936e-17,0.03333333333333337,6.684281613631662e-17,8.026962773275567e-17,0.7333333333333333
2,0.2,4.3800336071106184e-17,0.34913975097195565,0.017691584491123274,5.0371120258791306e-17,0.015641748842210163,2.3224254559692974e-17,0.617526915694711
3,0.3,1.9919544824195225e-16,0.14882935245870008,0.019065706488429854,2.864178331484499e-16,0.014267626844903963,2.2415033769754684e-16,0.8178373142079657
4,0.4,2.9357732342046383e-16,0.2666666666666669,0.06345240195352171,0.0333333333333336,0.0624423675001795,0.04077189721296479,0.5333333333333334
5,0.5,2.52142930490961e-16,0.19999999999999912,0.050511348292992087,1.5275910962290087e-16,0.049488651707008634,0.10000000000000003,0.6000000000000004
6,0.6,7.805383072240732e-17,0.20000000000000012,0.05639708195239686,3.951609164634189e-17,0.06417230157455543,0.04609728313971438,0.6333333333333332
7,0.7,4.153251947912207e-17,0.20000000000000007,0.07991648536025475,3.3784829819144e-17,0.0662223575410192,0.18719449043217654,0.4666666666666666
8,0.8,7.711645043559968e-17,0.3333333333333333,1.1190252253322102e-16,7.646089440343348e-17,1.8852400132050876e-16,0.36666666666666625,0.3
9,0.9,1.846392384012132e-13,0.43333333333333335,0.0695754483956103,0.03333333333333337,0.06375788493772316,0.3333333333333333,0.06666666666671246
10,1.0,1.5286436353236577e-13,0.43333333333333773,0.1482747101276577,9.364997749289943e-11,0.1414827568106378,0.13080934982912576,0.1460998507893024
