,std_defection
0,0.29242848276410865
1,0.27618690419559966
2,0.28771910432995723
3,0.3069792457315991
4,0.29731590196646085
5,0.3011356095274084
6,0.2672736501820422
7,0.27753447110775487
8,0.2944494212602855
9,0.2680153777540965
10,0.26683187649223966
11,0.291186051233185
12,0.2735650826445949
13,0.2774846453320647
14,0.30682723936393846
15,0.2886232964387328
16,0.2952383824629495
17,0.2744617605017152
18,0.2793294930837902
19,0.28602777898735393
20,0.26950306313967315
21,0.2880638220871603
22,0.28081511697742007
23,0.2650800928423366
24,0.2942177019385429
25,0.2929681134538124
26,0.27377183668236327
27,0.29138517861080304
28,0.30044360225268146
29,0.3067606565249176
30,0.2878905953621257
31,0.26164007120375143
32,0.26217174785788006
33,0.26210503494514253
34,0.26500886163591236
35,0.2689454485968997
36,0.28283887121658663
37,0.2785937292717394
38,0.2910284222083494
39,0.29497005537963633
40,0.2735795599515225
41,0.28994549535029934
42,0.2815392687736325
43,0.2584649112160257
44,0.28327572943845525
45,0.30112598528272605
46,0.2778793456482335
47,0.285284945274019
48,0.30937203767035526
49,0.2710286363820813
50,0.2723277224727743
51,0.29473892132874435
52,0.2834751483326576
53,0.29373709585525876
54,0.26302984423598186
55,0.2643179903071299
56,0.2824183566262777
57,0.28836777941259867
58,0.26236711203824675
59,0.268472533291087
60,0.2995382911579461
61,0.29778813235003765
62,0.28313923298459015
63,0.29863955989569413
64,0.28576846352309765
65,0.27824973239923684
66,0.28633269972281467
67,0.27868750998935876
68,0.275963005414028
69,0.28461377338421273
70,0.28304349369890336
71,0.2645770176411566
72,0.274274243311722
73,0.2869308838417107
74,0.26890928442254725
75,0.2664699101545078
76,0.28973490262586926
77,0.2842203599634472
78,0.2845912829780762
79,0.2600816461282573
80,0.30708232699970794
81,0.27163129422067706
82,0.284758364914692
83,0.2660769023249741
84,0.28978271979425896
85,0.2919082840225534
86,0.26749316821429725
87,0.30131119710359255
88,0.2912043955712207
89,0.29081244246094895
90,0.2988864197262664
91,0.27298660987268003
92,0.2871274085842913
93,0.282237247644851
94,0.2712440707844649
95,0.2987484180442645
96,0.2665883218247441
97,0.29484748599911786
98,0.2694773637743565
99,0.28168134247447923
