,avg_defection
0,0.5041176470588234
1,0.5065217391304347
2,0.47068965517241373
3,0.5133333333333332
4,0.4461538461538461
5,0.5001923076923076
6,0.48071428571428576
7,0.4882142857142857
8,0.5063157894736842
9,0.4665853658536586
10,0.43612244897959185
11,0.5002127659574468
12,0.4854347826086956
13,0.5242222222222223
14,0.5181034482758621
15,0.47581395348837213
16,0.45545454545454545
17,0.5262745098039215
18,0.5151851851851853
19,0.5173584905660377
20,0.561875
21,0.5441304347826087
22,0.4936170212765957
23,0.4630769230769231
24,0.5261702127659574
25,0.5025925925925926
26,0.43978723404255315
27,0.4796363636363635
28,0.48698113207547167
29,0.4981132075471698
30,0.5060714285714285
31,0.4861363636363636
32,0.5258823529411765
33,0.526595744680851
34,0.5332692307692308
35,0.4751111111111111
36,0.5202127659574468
37,0.5282456140350877
38,0.517391304347826
39,0.4666037735849057
40,0.49552631578947376
41,0.4798245614035087
42,0.4794117647058824
43,0.5134883720930232
44,0.5091666666666667
45,0.5136585365853659
46,0.5014893617021277
47,0.455
48,0.5225
49,0.5
50,0.5008771929824561
51,0.49833333333333335
52,0.4404166666666667
53,0.5599999999999999
54,0.4806382978723405
55,0.48733333333333323
56,0.4641509433962264
57,0.5269767441860465
58,0.4898076923076923
59,0.48234042553191475
60,0.4863461538461538
61,0.47674418604651164
62,0.5148214285714285
63,0.5096428571428572
64,0.5386206896551723
65,0.5135555555555555
66,0.5339583333333333
67,0.517719298245614
68,0.5237499999999999
69,0.545
70,0.4791836734693878
71,0.48895833333333333
72,0.4721428571428571
73,0.4692982456140351
74,0.49020408163265305
75,0.5276923076923077
76,0.5256521739130434
77,0.5526923076923077
78,0.5152727272727272
79,0.5114893617021277
80,0.5059999999999999
81,0.44620000000000004
82,0.4504166666666667
83,0.5789795918367348
84,0.4975555555555556
85,0.5149090909090909
86,0.4796363636363635
87,0.43624999999999997
88,0.47500000000000003
89,0.4704651162790698
90,0.5165957446808511
91,0.536271186440678
92,0.5081818181818182
93,0.4898245614035087
94,0.5230434782608695
95,0.4811111111111111
96,0.5453333333333334
97,0.4735999999999999
98,0.5076363636363637
99,0.4730769230769231
