,URND_alpha,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,0.52,0.4215869290090425,0.6184130709909575,0.9799248571132053,0.9794957393604046,0.9803539748660061,0.5075973576933148,0.49204685124311237,0.5231478641435173,0.48,0.38158692900904245,0.5784130709909575,0.5011111111111111,0.49043716886330746,0.5117850533589147
1,0.1,0.5,0.4015081039495562,0.5984918960504438,0.9352444173069672,0.9289368436796861,0.9415519909342482,0.49745858201382076,0.481823779940457,0.5130933840871845,0.479255507564331,0.44635141536418194,0.5121595997644801,0.4993939393939393,0.48819005119981856,0.51059782758806
2,0.2,0.42,0.32277697363397606,0.5172230263660239,0.8985640692910836,0.889831402191064,0.9072967363911031,0.49243808702173264,0.47696644296838936,0.507909731075076,0.4864930911807999,0.4623546216866611,0.5106315606749388,0.4976767676767676,0.48850732573262684,0.5068462096209083
3,0.3,0.38,0.28438673763036315,0.47561326236963686,0.8646147996121049,0.8545671025225142,0.8746624967016955,0.49623083852043115,0.4795434471506647,0.5129182298901975,0.48606776736437113,0.4681027514161354,0.5040327833126068,0.5009090909090909,0.4910359330544129,0.5107822487637689
4,0.4,0.34,0.24668704987923695,0.4333129501207631,0.8336105715220912,0.8227550257128521,0.8444661173313303,0.4914327766770997,0.47279499005886644,0.5100705632953331,0.48646989777368665,0.46960253028518345,0.5033372652621898,0.49888888888888894,0.48774674443751914,0.5100310333402587
5,0.5,0.38,0.2843867376303632,0.4756132623696368,0.8019728602525216,0.7880549736810394,0.8158907468240038,0.490157921285188,0.4712968124010174,0.5090190301693586,0.49737933916058774,0.4826396534622905,0.5121190248588849,0.49878787878787884,0.4884229812433364,0.5091527763324213
6,0.6,0.27,0.18254718250123186,0.35745281749876817,0.7579981474396219,0.7423229545132246,0.7736733403660192,0.5143908949212995,0.49185782871866096,0.536923961123938,0.5003887187304086,0.4881508866360726,0.5126265508247445,0.5064646464646466,0.496794369271406,0.5161349236578873
7,0.7,0.25,0.16470351595341942,0.3352964840465806,0.7397787969862047,0.7213931803916631,0.7581644135807464,0.5121628658784567,0.4859427059529595,0.5383830258039539,0.5029116440103145,0.4911541896587526,0.5146690983618764,0.5011111111111111,0.4913192884384053,0.5109029337838168
8,0.8,0.19,0.11272308010451249,0.2672769198954875,0.7268314742232411,0.7048439670408355,0.7488189814056467,0.5098150876900877,0.47708257004459625,0.5425476053355791,0.49886172599799994,0.4880610035507964,0.5096624484452035,0.4997979797979798,0.48972480864184836,0.5098711509541113
9,0.9,0.11,0.04836578916779549,0.1716342108322045,0.725253289515707,0.6920380366982725,0.7584685423331415,0.5032936507936507,0.45187732814636544,0.554709973440936,0.49330159415088476,0.48264632299072174,0.5039568653110478,0.5063636363636363,0.49722533439462774,0.515501938332645
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.49990655306470977,0.5182934469352902,0.4896969696969694,0.4803410660205221,0.4990528733734167
