,opponent,AD_score,RND_score,AC_score,TFT_score,STFT_score,GRIM_score,WSLS_score
0,RND,0.03496085847583302,9.327752260683973e-17,6.128717131121612e-17,4.528654883437805e-17,1.0723346770476143e-16,0.9650391415247307,5.284072578187776e-17
1,TFT,0.010000000000032896,2.2765502793205137e-16,0.25573054055650296,0.2548014566078213,2.1675436990877188e-13,0.24046700204970722,0.23900100080030603
2,STFT,0.010000000000119767,4.0618298540044915e-16,0.0400000000000002,0.15773756288114998,0.010000000000003301,0.6272461195597293,0.1550163175591805
3,GRIM,0.032465239962560316,3.1050877046579844e-15,0.2395679210458705,0.22853527155873102,2.083798965758961e-12,0.24720992978898798,0.25222163771579115
4,WSLS,0.030000000000151926,7.611554572975139e-14,0.22538102855864792,0.2279926292301223,0.010000000000487695,0.2610119951142835,0.24561434710607635
