,opponent,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,RND,0.96,0.9213992177403473,0.9986007822596527,0.1087111879081856,0.08765747880189945,0.12976489701447175,0.7637784601019894,0.7117001709464494,0.8158567492575293,0.8881100594690203,0.869178884409387,0.9070412345286537,0.51,0.4994094669494142,0.5205905330505858
1,TFT,0.59,0.4931168104810085,0.6868831895189914,0.03333333333333333,-0.0007852602852988916,0.06745192695196556,0.0,0.0,0.0,0.0146589348013464,-0.004891714908598131,0.03420958451129093,0.9945454545454544,0.9927127366139885,0.9963781724769203
2,STFT,0.98,0.9524222691058757,1.0075777308941243,0.44043868666703984,0.38701546564899464,0.49386190768508503,0.97,0.9363970823052823,1.0036029176947177,0.42976087029942683,0.3767262084900899,0.48279553210876375,0.9457575757575757,0.9356405789687832,0.9558745725463682
3,GRIM,0.59,0.4931168104810085,0.6868831895189914,0.029666666666666668,0.0008819337857060398,0.05845139954762729,0.0305,0.00024214176539953322,0.06075785823460046,0.03213535353535354,0.00400299952102124,0.060267707549685835,0.994141414141414,0.9919950808820204,0.9962877474008076
4,WSLS,0.63,0.5348953765314803,0.7251046234685197,0.02504622655846483,0.006156282252130021,0.043936170864799645,0.04833333333333333,0.009405838224801531,0.08726082844186514,0.038806157926343496,0.00740280445094612,0.07020951140174087,0.974040404040404,0.9556243211000647,0.9924564869807434
