,opponent,model_coop,ci_lb,ci_ub
0,RND,0.09229999999999997,0.07669009399891731,0.1079099060010827
1,TFT,0.9840999999999991,0.9644546907678637,1.0037453092321362
2,STFT,0.25309999999999994,0.1830725001730422,0.32312749982695776
3,GRIM,0.9577999999999994,0.9209734283080718,0.9946265716919281
4,WSLS,0.9559999999999995,0.9224745391191261,0.989525460880874
