,URND_alpha,nice_mean,nice_ci_lb,nice_ci_ub,forgiving_mean,forgiving_ci_lb,forgiving_ci_ub,retaliatory_mean,retaliatory_ci_lb,retaliatory_ci_ub,troublemaking_mean,troublemaking_ci_lb,troublemaking_ci_ub,emulative_mean,emulative_ci_lb,emulative_ci_ub
0,0.0,1.0,1.0,1.0,0.5554087301587299,0.49839066078919125,0.6124267995282686,0.8667002164502164,0.8359690257633728,0.89743140713706,0.0,0.0,0.0,0.9759595959595956,0.971666376107635,0.9802528158115562
1,0.1,1.0,1.0,1.0,0.2066838872943361,0.1702534054522294,0.2431143691364428,0.8649579725829725,0.8275460001636279,0.902369945002317,0.8428370602136078,0.8248724435302479,0.8608016768969677,0.8815151515151503,0.873259044757155,0.8897712582731455
2,0.2,1.0,1.0,1.0,0.15049018140236037,0.1223457795934492,0.17863458321127154,0.7867509157509157,0.7405608653320976,0.8329409661697338,0.8886399021704375,0.8726623319302935,0.9046174724105815,0.7819191919191918,0.7723763626343909,0.7914620212039927
3,0.3,0.98,0.9524222691058757,1.0075777308941243,0.12762575869136547,0.09721397307203362,0.15803754431069733,0.7213718044081823,0.6700365749518381,0.7727070338645264,0.8857159376979152,0.8604155309831646,0.9110163444126659,0.684444444444444,0.6751112497168873,0.6937776391720006
4,0.4,0.99,0.9704003601545994,1.0095996398454006,0.11151331725650845,0.08282323998416394,0.14020339452885297,0.6449190317479792,0.590696800555673,0.6991412629402853,0.8841848849122165,0.8578821833774549,0.910487586446978,0.5983838383838387,0.5901168774184032,0.6066507993492741
5,0.5,1.0,1.0,1.0,0.18022256631420255,0.13321509544784382,0.22723003718056128,0.6143447007036954,0.5481483542938641,0.6805410471135267,0.8047549958308403,0.7594638904750786,0.8500461011866021,0.5141414141414143,0.5042426061386868,0.5240402221441419
6,0.6,0.99,0.9704003601545994,1.0095996398454006,0.27948321560327555,0.20849518724114025,0.35047124396541085,0.4812173600648231,0.41310370286533454,0.5493310172643115,0.6911601248839134,0.6228401018115386,0.7594801479562883,0.47808080808080805,0.45990753070411733,0.4962540854574988
7,0.7,0.99,0.9704003601545994,1.0095996398454006,0.5747783336063046,0.4888338084210281,0.6607228587915811,0.3261390041452624,0.2512460616454378,0.40103194664508707,0.4055699809346248,0.32284178233272853,0.4882981795365211,0.5485858585858585,0.5121974190934702,0.5849742980782469
8,0.8,0.99,0.9704003601545994,1.0095996398454006,0.751235392980738,0.6716869261476911,0.830783859813785,0.2413748763267911,0.16988847129625861,0.3128612813573236,0.2354050378794169,0.15772136657135197,0.3130887091874819,0.6684848484848489,0.6215293050197904,0.7154403919499074
9,0.9,0.92,0.8665596368257775,0.9734403631742226,0.8888606812806432,0.8319726538292773,0.9457487087320091,0.11803882228882225,0.06495862336686022,0.17111902121078426,0.099998541216248,0.045308819371686224,0.1546882630608098,0.8253535353535344,0.7817240396408266,0.8689830310662422
10,1.0,0.45,0.3520018007729973,0.5479981992270027,0.0,0.0,0.0,0.0,0.0,0.0,0.008000000000000005,0.006282735113433616,0.009717264886566395,0.9919191919191916,0.9901845809226599,0.9936538029157234
