,URND_alpha,model_coop,ci_lb,ci_ub
0,0.0,0.03379999999999997,0.029549712346558937,0.03805028765344105
1,0.1,0.042299999999999977,0.03495667778257294,0.049643322217427066
2,0.2,0.054299999999999946,0.044231622870756035,0.06436837712924395
3,0.3,0.07299999999999994,0.05404139728966878,0.09195860271033124
4,0.4,0.08759999999999991,0.06501441873941687,0.1101855812605831
5,0.5,0.1702999999999999,0.1275945180936919,0.21300548190630805
6,0.6,0.29560000000000003,0.22798988230587758,0.3632101176941225
7,0.7,0.5867999999999999,0.5047450164251928,0.6688549835748074
8,0.8,0.7576999999999999,0.6805246487563688,0.8348753512436311
9,0.9,0.8978999999999995,0.8433000902119928,0.952499909788007
10,1.0,0.9919999999999998,0.9902827351134336,0.9937172648865664
